date,mean_abs_correlation_60d,connectedness_60d
2020-02-25,0.36586129668244566,0.36586129668244566
2020-02-26,0.3609123171177408,0.3609123171177408
2020-02-27,0.3374114221963433,0.3374114221963433
2020-02-28,0.30532654441480034,0.30532654441480034
2020-03-02,0.28163466251881486,0.28163466251881486
2020-03-03,0.28507679200054853,0.28507679200054853
2020-03-04,0.27214238772941535,0.27214238772941535
2020-03-05,0.2801307111568899,0.2801307111568899
2020-03-06,0.28021910708832654,0.28021910708832654
2020-03-09,0.32785492436727504,0.32785492436727504
2020-03-11,0.3198784902314826,0.3198784902314826
2020-03-12,0.37531077512212346,0.37531077512212346
2020-03-13,0.3350103090301693,0.3350103090301693
2020-03-16,0.3534211385602427,0.3534211385602427
2020-03-17,0.3449084286575071,0.3449084286575071
2020-03-18,0.366216824339742,0.366216824339742
2020-03-19,0.3568240374340845,0.3568240374340845
2020-03-20,0.3415818083509954,0.3415818083509954
2020-03-23,0.3000665734812965,0.3000665734812965
2020-03-24,0.29839347577603687,0.29839347577603687
2020-03-25,0.2977839923189824,0.2977839923189824
2020-03-26,0.28577420672450754,0.28577420672450754
2020-03-27,0.28761045983456734,0.28761045983456734
2020-03-30,0.27880458916081025,0.27880458916081025
2020-03-31,0.2798399406730849,0.2798399406730849
2020-04-01,0.2729654905199316,0.2729654905199316
2020-04-03,0.28256913545723555,0.28256913545723555
2020-04-07,0.2775009772194753,0.2775009772194753
2020-04-08,0.2778682406362814,0.2778682406362814
2020-04-09,0.2749616311819124,0.2749616311819124
2020-04-13,0.2751563862959922,0.2751563862959922
2020-04-15,0.27250598299150636,0.27250598299150636
2020-04-16,0.26829150700950655,0.26829150700950655
2020-04-17,0.2671334972352912,0.2671334972352912
2020-04-20,0.26720287351574273,0.26720287351574273
2020-04-21,0.2635202534109301,0.2635202534109301
2020-04-22,0.2689992730445695,0.2689992730445695
2020-04-23,0.269685730529485,0.269685730529485
2020-04-24,0.26784204573003983,0.26784204573003983
2020-04-27,0.2678904597812843,0.2678904597812843
2020-04-28,0.26817249787004477,0.26817249787004477
2020-04-29,0.2704057636113122,0.2704057636113122
2020-04-30,0.2659508500020625,0.2659508500020625
2020-05-04,0.26180623694822447,0.26180623694822447
2020-05-05,0.26275839991042516,0.26275839991042516
2020-05-06,0.26354801325441557,0.26354801325441557
2020-05-07,0.26433337948339736,0.26433337948339736
2020-05-08,0.26414218605027306,0.26414218605027306
2020-05-11,0.26392616306131006,0.26392616306131006
2020-05-12,0.260657662510927,0.260657662510927
2020-05-13,0.2604244687782523,0.2604244687782523
2020-05-14,0.25952693643153474,0.25952693643153474
2020-05-15,0.25942995916691514,0.25942995916691514
2020-05-18,0.2557484694131646,0.2557484694131646
2020-05-19,0.2556469070587952,0.2556469070587952
2020-05-20,0.2578157059430295,0.2578157059430295
2020-05-21,0.2574463373806131,0.2574463373806131
2020-05-22,0.25656458536488286,0.25656458536488286
2020-05-26,0.2559415660523784,0.2559415660523784
2020-05-27,0.26390400125639013,0.26390400125639013
2020-05-28,0.2634532014928469,0.2634532014928469
2020-05-29,0.26359986529564544,0.26359986529564544
2020-06-01,0.26728443667606905,0.26728443667606905
2020-06-02,0.2632939142140581,0.2632939142140581
2020-06-03,0.2643821482590419,0.2643821482590419
2020-06-04,0.27033630032451683,0.27033630032451683
2020-06-05,0.2692941214588018,0.2692941214588018
2020-06-08,0.27737248248091084,0.27737248248091084
2020-06-09,0.27454460646172096,0.27454460646172096
2020-06-10,0.2528818646117158,0.2528818646117158
2020-06-11,0.2472410613139792,0.2472410613139792
2020-06-12,0.21457545174051065,0.21457545174051065
2020-06-15,0.24757947678045383,0.24757947678045383
2020-06-16,0.20303994383886903,0.20303994383886903
2020-06-17,0.1955077138038403,0.1955077138038403
